,ace_Latn,ary_Arab,arz_Arab,ban_Latn,ben_Beng,crh_Latn,dik_Latn,dzo_Tibt,fuv_Latn,gug_Latn,hne_Deva,ita_Latn,mag_Deva,mri_Latn,prs_Arab,shn_Mymr,spa_Latn,taq_Latn,taq_Tfng
ace_Latn,18.48469098664579,7.625582994875221,5.496690928981804,11.732774298607998,4.79809410690788,5.456274995269344,4.6739746965954145,4.447096308869005,10.72282613893415,4.678981647202541,10.41614333207895,2.584484880111971,5.0647488974796495,5.584019833723093,3.1101940985900267,4.015719762920403,3.558109212312769,7.826474917729607,7.050971256686207
ary_Arab,10.738986231902173,14.82262569105967,15.582435886003642,12.412504870603424,3.1259761145480014,7.660953724419615,6.951123844271168,6.322772397775296,13.9905785535031,11.20912212461502,9.704510892079082,11.52097773499121,11.429141999451137,8.387958625092336,13.69690790194593,11.856601720994508,12.254951986670653,10.466937133471008,10.2664936560259
arz_Arab,10.84585963151308,14.736968514355285,17.042781431296024,12.490950061715548,2.9046076183991487,7.560940047664556,6.973246268829442,6.103716560855818,14.19154347124729,11.162662614789324,9.677635096518168,11.58204304139058,11.533615611739751,8.472145990469722,14.025565294584188,11.848682092370147,12.287382604950784,10.502458570040146,10.44458243129112
ban_Latn,15.509950918420069,7.46892661658182,6.242944701090735,18.489641482617888,5.652470010695412,5.3086298605522755,5.328829056193266,4.237791763338315,10.475820387661026,3.865389705127968,9.2428192514107,3.0933249528666047,3.3010334268560824,6.524611145182031,2.957386297952314,4.353031490344144,4.2291589664810525,8.685842622596738,7.07348858913527
ben_Beng,10.487708830670137,8.207760619350816,11.584584475825784,11.720894681837676,20.031973350002545,8.27056213801136,7.471759676492278,7.840157928655602,14.50553212723845,11.47271360050031,9.566460294410652,11.525913850128292,11.862261533342831,8.280972210785402,12.803733768699038,11.216192659803545,12.095128037007296,11.5967503733223,10.854343534821478
crh_Latn,9.638722075272147,7.281578834741579,6.459166241809207,8.819882239409912,3.1919972446890545,16.855556852895738,4.186874878225918,5.646902838345726,10.20025806828293,9.745024135227444,10.806225491270066,4.59800864172988,7.641519878221266,2.224402430233434,3.5068056135395667,5.56152131738749,4.065514030809034,10.898413177894628,8.935386670480435
dik_Latn,12.247165271675277,8.741115381953895,8.740402998117013,11.503174143609307,3.9195671446985223,10.983478922715904,11.63168267116393,5.719614958708561,11.229757835872114,10.424910866590931,13.10702923201873,6.7465095022694905,8.588522289224983,6.788983300785925,3.9744771663093377,5.198788305236616,5.519174291817153,8.528118683377341,9.702691678731671
dzo_Tibt,8.13367837340887,9.823141273210286,11.695931656629536,12.065652002842803,9.329932260401543,7.834281636559798,6.429465445679004,11.106978592087092,11.417785980416296,10.68462177763828,9.930409920171307,10.73221922794738,10.914205840247975,8.753673364613595,12.0357518226788,11.182965307410743,12.015490615549531,9.126132097820264,8.378772198876138
fuv_Latn,11.270985779091111,8.447502854392384,7.5241732042739695,10.311329605013425,4.544128775920289,8.24727269461535,5.931562985035353,5.115415173991381,12.643836310145955,8.421943979194673,10.695775910278613,6.932248616755085,6.281893568948939,6.782630401081106,4.004231596042753,5.165969911495292,6.104045912405392,9.444194321883542,7.522038408459881
gug_Latn,10.43297136908014,7.419450232459038,6.671171278680177,8.142961826811753,2.9483064544103885,8.567695551893395,4.0279939053618685,5.3199869666959625,11.132075854670653,15.925878783197792,10.295868371052768,4.762056929321023,7.840985607395171,5.02346080346448,3.210000112647008,4.699944077277266,6.03250950469987,7.91619119621576,7.297691121990674
hne_Deva,9.851560602061657,7.9157576378676,10.397073697242297,10.49944950180226,3.959700632170251,7.7449556119018,6.685361098497579,8.25564709203277,13.85534750420074,11.363892718826506,20.81137328016525,10.984528525904024,19.561049269158858,8.237589435348838,12.408643116035732,11.109576862607645,11.33582824907324,12.06347251573082,11.96601634240527
ita_Latn,10.7589761545085,8.919369791843389,7.085788763822122,9.56652962963241,5.297965291170299,8.173153458575683,6.236055366224556,4.944857474599215,11.225242842433127,9.422960625419192,9.903752641315746,22.624228625892613,5.287598858212149,6.545656581041184,4.532590580294878,6.840670923972611,11.358193556213896,7.861248741676803,7.725836192928459
mag_Deva,10.248820947995702,7.928167118548417,10.522488601587035,10.741238913100934,4.046372485321177,7.878359728224277,7.287562267317535,8.089220548984615,14.454869550419364,11.774733427080715,18.50650578326498,11.07627911784213,21.92582841263155,8.773129285244426,12.739148465277395,11.271060035504972,11.801892340742306,12.15088571499954,11.814300830985438
mri_Latn,6.047782186338336,5.535567980290837,5.295479587336477,4.754221818370231,5.280568047467494,2.1568322865932346,2.866209982474178,3.838266754262433,2.8197084207179692,4.593438948622958,9.43016592905866,1.8947796979699,5.686285061772092,18.905544569810544,3.609808829301109,3.1051866823576444,2.0278742080304952,5.580038603974631,7.649579217233262
prs_Arab,10.504894656468878,9.692901645890482,10.637791543624864,11.755488860353244,2.415228591708475,7.641032778901217,6.47628828655403,6.0900529642594385,14.379768737110204,11.480865561988852,9.591620924224756,11.313768951544215,11.36668094392208,9.087562656336656,22.0356569407241,11.650489436199695,11.556486410013289,10.928888538960257,10.675761959276556
shn_Mymr,10.148920178336814,9.81669741687138,11.946518363631013,12.24337920688156,6.944416942785738,9.012563731759766,7.307260770939072,7.384930989554493,11.592555348636017,11.427536283454534,9.75901782661744,10.348227051514714,9.854574540940089,8.866141989667687,10.587534290170636,14.143245581925774,11.636228317016164,9.837296903101764,8.03314621417094
spa_Latn,10.080231534269648,9.21186910019071,6.79993587276638,10.210948731606155,6.93157345987417,8.25502542787817,6.111204282444681,5.0675597804135695,10.237184807294804,12.68333912643509,11.14586714105682,11.494717173675758,5.201977600159904,5.915532547659208,4.294983305639972,6.759523692911514,23.928506168703375,7.498086992788281,8.613805714326432
taq_Latn,11.513068733797365,9.221231453044611,8.910541884540955,11.781094398300066,3.268578629040008,11.025819169140044,5.121897391376926,5.7752911301405305,12.203047781197968,10.33537787319769,11.14848857426798,5.128904202589306,7.780127759032296,5.60001266687965,4.373412989794043,6.359503532970769,6.026096225576701,12.54821354285828,9.705784703999822
taq_Tfng,8.30627063043023,8.115624176623959,9.079279485585165,6.737630804144325,5.316671300926636,8.141227996279154,6.319508836901604,9.93568218140785,10.485711494751802,5.15511033053336,10.957242754059008,7.265405621402553,9.644480227515368,7.261855569152788,11.56286738455016,4.709647301018545,4.245149983697565,7.089661936841209,10.041553051851285
